Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Kim A., Lee M., Lee H., So H., Jeong S., Kim K.-T., Kim C.","57201985324;55644635200;57211545436;57208404445;57222760401;57202074566;7409879911;","Detecting and bioimaging of hypochlorite by a conjugated fluorescent chemosensor based on thioamide",2021,"Journal of Photochemistry and Photobiology A: Chemistry","421",,"113531","","",,,"10.1016/j.jphotochem.2021.113531","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114703653&doi=10.1016%2fj.jphotochem.2021.113531&partnerID=40&md5=50da0747f5a26ef609c339856fb79abc","Department of Fine Chemistry, SNUT (Seoul National Uni. of Sci. and Tech.), Seoul, 01813, South Korea; Department of Environ. Engineering, SNUT (Seoul National Uni. of Sci. and Tech.), Seoul, 01813, South Korea","Kim, A., Department of Fine Chemistry, SNUT (Seoul National Uni. of Sci. and Tech.), Seoul, 01813, South Korea; Lee, M., Department of Fine Chemistry, SNUT (Seoul National Uni. of Sci. and Tech.), Seoul, 01813, South Korea; Lee, H., Department of Fine Chemistry, SNUT (Seoul National Uni. of Sci. and Tech.), Seoul, 01813, South Korea; So, H., Department of Fine Chemistry, SNUT (Seoul National Uni. of Sci. and Tech.), Seoul, 01813, South Korea; Jeong, S., Department of Environ. Engineering, SNUT (Seoul National Uni. of Sci. and Tech.), Seoul, 01813, South Korea; Kim, K.-T., Department of Environ. Engineering, SNUT (Seoul National Uni. of Sci. and Tech.), Seoul, 01813, South Korea; Kim, C., Department of Fine Chemistry, SNUT (Seoul National Uni. of Sci. and Tech.), Seoul, 01813, South Korea","A novel thioamide-based conjugated probe SNC, (E)-2-((E)-3-(4-(dimethylamino)phenyl)allylidene)-N,N-dimethylhydrazine-1-carbothioamide, has been designed. Probe SNC could selectively recognize ClO- in aqueous media through fluorescence turn-off and sensitively detect ClO- down to 0.90 μM. In addition, successful detection of hypochlorite was achieved for practical applications in living zebrafish and water samples, and the detection limit turned out to be 2.26 μM. Detection process between SNC and hypochlorite was illustrated through UV–Vis spectroscopy, 1H NMR titration, ESI-mass and DFT study. © 2021 Elsevier B.V.","Chemosensor; Computational theory; Hypochlorite; Thioamide; Zebrafish",,Article,"Final","",Scopus,2-s2.0-85114703653
"Lee H.-S., Shin H.-S.","55706820600;57239098900;","Competitive adsorption of heavy metals onto modified biochars: Comparison of biochar properties and modification methods",2021,"Journal of Environmental Management","299",,"113651","","",,,"10.1016/j.jenvman.2021.113651","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113833315&doi=10.1016%2fj.jenvman.2021.113651&partnerID=40&md5=defdada9c8227ecc911282baf6cfb592","Department of Environment Engineering, Seoul National University of Science & Technology, Seoul, 01811, South Korea","Lee, H.-S., Department of Environment Engineering, Seoul National University of Science & Technology, Seoul, 01811, South Korea; Shin, H.-S., Department of Environment Engineering, Seoul National University of Science & Technology, Seoul, 01811, South Korea","Various biochars (BCs) have been developed to remove heavy metals contained in road runoff; however, there is insufficient information regarding the competitive adsorption efficiency of modified BC with regard to heavy metals due to a lack of comparative evaluation based on BC properties and modification methods. In this study, three different types of BC (RBC: rice husk, WBC: wood chip, MBC: mixture) were modified following five different methods: acidic, alkaline, oxidic, and manganese oxide (MnOx) and iron oxide (FeOx) impregnation. The changes in the physicochemical and morphological properties of the modified BC were investigated, and the adsorption characteristics of three heavy metals (Cd, Pb, and Zn) under single and mixed conditions were compared and evaluated. The improvements in the BC properties varied for different BC types and modification methods; in particular, alkaline and manganese modification caused substantial the changes in the surface area and functional groups (such as aromatic ring, –OH, and Mn–O groups). The BC prepared by manganese oxide impregnation absorbed a high amount of heavy metals (&gt;9.15 mg/g) even under mixed conditions through cation exchange and surface complexation. The distribution coefficient (Kd) of heavy metals was high in the order of Pb &gt; Cd &gt; Zn; thus, the adsorption of Pb replaced that of Zn in competitive adsorption due to the difference in their affinity to BC. Therefore, the results suggest that BC prepared by manganese oxide impregnation is suitable for removing heavy metals from road runoff, as it maintained high heavy metals adsorption regardless of the BC material, even under competitive conditions. © 2021 Elsevier Ltd","Adsorbent modification; Biochar; Competitive adsorption; Heavy metal; Properties","adsorption; biochar; comparative study; complexation; heavy metal; ion exchange; iron oxide; manganese oxide; surface area",Article,"Final","",Scopus,2-s2.0-85113833315
"Lee B.M., Park S.J., Noh I., Kim C.-H.","57236306000;57237415800;6701749664;16304279500;","The effects of the molecular weights of hyaluronic acid on the immune responses",2021,"Biomaterials Research","25","1","27","","",,,"10.1186/s40824-021-00228-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113782737&doi=10.1186%2fs40824-021-00228-4&partnerID=40&md5=0018c7ec7871d92ef7b7c584a1a4591f","Laboratory of Tissue Engineering, Korea Institute of Radiological and Medical Sciences, Seoul, 01812, South Korea; Department of Convergence program of Biomedical Engineering & Biomaterials, The Graduate School, Seoul National University of Science and Technology, Seoul, South Korea","Lee, B.M., Laboratory of Tissue Engineering, Korea Institute of Radiological and Medical Sciences, Seoul, 01812, South Korea, Department of Convergence program of Biomedical Engineering & Biomaterials, The Graduate School, Seoul National University of Science and Technology, Seoul, South Korea; Park, S.J., Laboratory of Tissue Engineering, Korea Institute of Radiological and Medical Sciences, Seoul, 01812, South Korea; Noh, I., Department of Convergence program of Biomedical Engineering & Biomaterials, The Graduate School, Seoul National University of Science and Technology, Seoul, South Korea; Kim, C.-H., Laboratory of Tissue Engineering, Korea Institute of Radiological and Medical Sciences, Seoul, 01812, South Korea","Background: The molecular weight of hyaluronic acid (HyA) depends on the type of organ in the body. When HyA of the desired molecular weight is implanted into the human body for regeneration of damaged tissue, it is degraded by hyaluronidase in associated with an inflammatory response. This study sought to evaluate the effects of HyA molecular weight and concentration on pro- and anti-inflammatory responses in murine macrophages. Methods: The structures and molecular weights of HyAs (LMW-10, MMW-100, MMW-500, and HMW-1,500) were confirmed by 1 H NMR and gel permeation chromatography (GPC), respectively. After treatment of murine macrophages with a low (10 µg/mL) or high (100 µg/mL) concentration of each molecular weight HyA, cells were stimulated with lipopolysaccharide (LPS) and changes in immune response in both LPS-stimulated and untreated macrophages were evaluated by assessing nitric oxide (NO) production, and analyzing expression of pro- and anti-inflammatory genes including by RT-PCR. Results: Molecular weights of LMW-10, MMW-100, MMW-500, and HMW-1,500 were 13,241 ± 161, 96,531 ± 1,167, 512,657 ± 8,545, and 1,249,500 ± 37,477 Da, respectively. NO production by LPS-stimulated macrophages was decreased by increasing concentrations and molecular weights of HyA. At a high concentration of 100 µg/mL, HMW-1,500 reduced NO production in LPS-stimulated macrophages to about 45 %. Using NanoString technology, we also found that the immune-related genes TNF-α, IL-6, IL-1β, TGF-β1, IL-10, IL-11, CCL2, and Arg1 were specifically over-expressed in LPS-stimulated macrophages treated with various molecular weights of HyA. An RT-PCR analysis of gene expression showed that HMW-1,500 decreased expression of classically activated (M1) macrophage genes, such as TNF‐α, IL-6, CCL2, and IL-1β, in LPS-stimulated macrophages, whereas medium molecular-weight HyA (MMW-100 and MMW-500) instead increased expression levels of these genes. HMW-1,500 at a high concentration (100 µg/mL) significantly decreased expression of pro-inflammatory genes in LPS-stimulated macrophages. Expression of genes associated with anti-inflammatory responses (M2 phenotype), such as TGF-β1, IL-10, IL-11, and Arg1, were increased by high concentrations of MMW-500 and HMW-1,500 in LPS-stimulated macrophages. Conclusions: High molecular-weight HyA (i.e., &gt; 1,250 kDa) inhibits pro-inflammatory responses in LPS-stimulated macrophages and induces anti-inflammatory responses in a concentration dependent manner. © 2021, The Author(s).","Anti-inflammatory; GPC; Hyaluronic Acid; Macrophages; Pro-inflammatory",,Article,"Final","",Scopus,2-s2.0-85113782737
"Lee H., Sung E.J., Seo S., Min E.K., Lee J.-Y., Shim I., Kim P., Kim T.-Y., Lee S., Kim K.-T.","57200522840;57226467431;57226487205;57221692953;57204606163;55355656300;57226481083;57049826900;57209046767;57202074566;","Integrated multi-omics analysis reveals the underlying molecular mechanism for developmental neurotoxicity of perfluorooctanesulfonic acid in zebrafish",2021,"Environment International","157",,"106802","","",,,"10.1016/j.envint.2021.106802","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111656846&doi=10.1016%2fj.envint.2021.106802&partnerID=40&md5=e6412be07a1dc290de3f12242b0dd889","Department of Environmental Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea; BK21 FOUR Community-Based Intelligent Novel Drug Discovery Education Unit, College of Pharmacy and Research Institute of Pharmaceutical Sciences, Kyungpook National University, Daegu, 41566, South Korea; School of Earth Sciences and Environmental Engineering, Gwangju Institute of Science and Technology, Gwangju, 61005, South Korea; Environmental Health Research Department, National Institute of Environmental Research, Incheon, 22689, South Korea","Lee, H., Department of Environmental Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea; Sung, E.J., BK21 FOUR Community-Based Intelligent Novel Drug Discovery Education Unit, College of Pharmacy and Research Institute of Pharmaceutical Sciences, Kyungpook National University, Daegu, 41566, South Korea; Seo, S., School of Earth Sciences and Environmental Engineering, Gwangju Institute of Science and Technology, Gwangju, 61005, South Korea; Min, E.K., Department of Environmental Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea; Lee, J.-Y., Environmental Health Research Department, National Institute of Environmental Research, Incheon, 22689, South Korea; Shim, I., Environmental Health Research Department, National Institute of Environmental Research, Incheon, 22689, South Korea; Kim, P., Environmental Health Research Department, National Institute of Environmental Research, Incheon, 22689, South Korea; Kim, T.-Y., School of Earth Sciences and Environmental Engineering, Gwangju Institute of Science and Technology, Gwangju, 61005, South Korea; Lee, S., BK21 FOUR Community-Based Intelligent Novel Drug Discovery Education Unit, College of Pharmacy and Research Institute of Pharmaceutical Sciences, Kyungpook National University, Daegu, 41566, South Korea; Kim, K.-T., Department of Environmental Engineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea","Limited studies on multi-omics have been conducted to comprehensively investigate the molecular mechanism underlying the developmental neurotoxicity of perfluorooctanesulfonic acid (PFOS). In this study, the locomotor behavior of zebrafish larvae was assessed under the exposure to 0.1–20 μM PFOS based on its reported neurobehavioral effect. After the number of zebrafish larvae was optimized for proteomics and metabolomics studies, three kinds of omics (i.e., transcriptomics, proteomics, and metabolomics) were carried out with zebrafish larvae exposed to 0.1, 1, 5, and 10 μM PFOS. More importantly, a data-driven integration of multi-omics was performed to elucidate the toxicity mechanism involved in developmental neurotoxicity. In a concentration-dependent manner, exposure to PFOS provoked hyperactivity and hypoactivity under light and dark conditions, respectively. Individual omics revealed that PFOS exposure caused perturbations in the pathways of neurological function, oxidative stress, and energy metabolism. Integrated omics implied that there were decisive pathways for axonal deformation, neuroinflammatory stimulation, and dysregulation of calcium ion signaling, which are more clearly specified for neurotoxicity. Overall, our findings broaden the molecular understanding of the developmental neurotoxicity of PFOS, for which multi-omics and integrated omics analyses are efficient for discovering the significant molecular pathways related to developmental neurotoxicity in zebrafish. © 2021 The Authors","Integration; Multi-omics; Neurotoxicity; Perfluorooctanesulfonic acid; Zebrafish","Metabolism; Molecular biology; 'omics'; Developmental neurotoxicity; Locomotor behavior; Molecular mechanism; Multi-omic; Neurobehavioural; Neurotoxicity; Perfluorooctanesulphonic acid; Zebrafish; Zebrafish larvae; Integration; concentration (composition); experimental study; molecular analysis; neurology; percid; physiological response; toxicity; Danio rerio",Article,"Final","",Scopus,2-s2.0-85111656846
"Abbasi M.A., Faraz M., Joo M.G., Son D., Won S.M., Ok J.G., Park H.J., Baac H.W.","57195303347;55751181100;57211277368;56076777700;57226431765;16480899100;57252279500;36024934800;","Variable-focus optoacoustic lens with wide dynamic range and long focal length by using a flexible polymer nano-composite membrane",2021,"Ultrasonics","117",,"106545","","",,,"10.1016/j.ultras.2021.106545","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111503603&doi=10.1016%2fj.ultras.2021.106545&partnerID=40&md5=bae21a795f0dfa347535beb3b6f5bbc2","Department of Electrical and Computer Engineering, Sungkyunkwan University, 2066 Seobu-ro, Jangan-gu, Suwon, 16419, South Korea; Department of Mechanical and Automotive Engineering, Seoul National University of Science and Technology, 232 Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea; Department of Organic and Nano Engineering, Hanyang University, Seoul, 04763, South Korea","Abbasi, M.A., Department of Electrical and Computer Engineering, Sungkyunkwan University, 2066 Seobu-ro, Jangan-gu, Suwon, 16419, South Korea; Faraz, M., Department of Electrical and Computer Engineering, Sungkyunkwan University, 2066 Seobu-ro, Jangan-gu, Suwon, 16419, South Korea; Joo, M.G., Department of Electrical and Computer Engineering, Sungkyunkwan University, 2066 Seobu-ro, Jangan-gu, Suwon, 16419, South Korea; Son, D., Department of Electrical and Computer Engineering, Sungkyunkwan University, 2066 Seobu-ro, Jangan-gu, Suwon, 16419, South Korea; Won, S.M., Department of Electrical and Computer Engineering, Sungkyunkwan University, 2066 Seobu-ro, Jangan-gu, Suwon, 16419, South Korea; Ok, J.G., Department of Mechanical and Automotive Engineering, Seoul National University of Science and Technology, 232 Gongneung-ro, Nowon-gu, Seoul, 01811, South Korea; Park, H.J., Department of Organic and Nano Engineering, Hanyang University, Seoul, 04763, South Korea; Baac, H.W., Department of Electrical and Computer Engineering, Sungkyunkwan University, 2066 Seobu-ro, Jangan-gu, Suwon, 16419, South Korea","We demonstrate a variable-focus optoacoustic lens (VFOL) by pneumatically controlling a flexible polymer nano-composite membrane, which can produce laser-generated focused ultrasound (LGFU) with a high peak amplitude (>30 MPa) and a tight focal dimension (several hundred μm) over a wide dynamic range of focus variation (>20 mm) together with a long focal length up to 60 mm, each of which is widest and longest among optoacoustic lenses developed so far. Two different designs in lens dimension have been fabricated and characterized: VFOL-L with a 40-mm diameter and VFOL-S with 10 mm. VFOL-L exhibits a wide dynamic range of focal length variation from 38.52 to 60.39 mm with a center frequency near ~ 10 MHz, which is proper for practical long-range applications with several-cm depth. In comparison, VFOL-S covers a focal variation range from 6.75 to 11.1 mm with ~ 14 MHz, producing a relatively higher-pressure amplitude, which allows the inception of acoustic cavitation at an impedance-mismatched boundary. The nano-composite membrane of VFOL is actuated from a planar to deeply curved shape by externally injecting liquid into the VFOL, resulting in a focal gain up to 255 and a positive peak pressure of > 30 MPa in the VFOL-L case. The minimum-geometrical f-number as low as 0.963 is achieved at the shortest focal length (38.52 mm) with 6-dB lateral and axial spot dimensions of 304 μm and 2.86 mm, respectively. We expect that the proposed VFOL-based LGFU with a high peak pressure, a wide dynamic axial range, and a tight focal dimension are suitably applied for depth-dependent characterization of tissues and shockwave treatment, taking advantages of optoacoustic pulses as input with inherent broadband high-frequency characteristics. © 2021","Laser-generated focused ultrasound; Laser-ultrasonic transmitter; Liquid-filled lens; Optoacoustic lens; Variable focus","Acoustic impedance; Composite membranes; Acoustic cavitations; Focused ultrasound; High frequency characteristics; Long focal lengths; Nano-composite membranes; Pressure amplitudes; Shock wave treatments; Wide dynamic range; Nanocomposites",Article,"Final","",Scopus,2-s2.0-85111503603
"Kim D., Ko E., Choi M., Shin S.","57214227113;57205631632;23396080300;26435504000;","Steady-state kinetic analysis of mitochondrial respiratory enzymes from bovine heart mitochondria",2021,"Applied Biological Chemistry","64","1","54","","",,,"10.1186/s13765-021-00626-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111247873&doi=10.1186%2fs13765-021-00626-1&partnerID=40&md5=f9ed207ebcc7ed0f9508d23393fcb7ac","Interdisciplinary Program of Bioenergy and Biomaterials Graduate School, College of Engineering, Chonnam National University, Gwangju, 61186, South Korea; Department of Biotechnology and Bioengineering, College of Engineering, Chonnam National University, 77 Yongbong-ro, Buk-gu, Gwangju, 61186, South Korea; Convergence Institute of Biomaterials and Bioengineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea; Department of Optometry, College of Energy and Biotechnology, Seoul National University of Science and Technology, Seoul, 01811, South Korea","Kim, D., Interdisciplinary Program of Bioenergy and Biomaterials Graduate School, College of Engineering, Chonnam National University, Gwangju, 61186, South Korea; Ko, E., Department of Biotechnology and Bioengineering, College of Engineering, Chonnam National University, 77 Yongbong-ro, Buk-gu, Gwangju, 61186, South Korea; Choi, M., Convergence Institute of Biomaterials and Bioengineering, Seoul National University of Science and Technology, Seoul, 01811, South Korea, Department of Optometry, College of Energy and Biotechnology, Seoul National University of Science and Technology, Seoul, 01811, South Korea; Shin, S., Interdisciplinary Program of Bioenergy and Biomaterials Graduate School, College of Engineering, Chonnam National University, Gwangju, 61186, South Korea, Department of Biotechnology and Bioengineering, College of Engineering, Chonnam National University, 77 Yongbong-ro, Buk-gu, Gwangju, 61186, South Korea","Mitochondria is a decisive organelle of cells that produces adenosine triphosphate (ATP) by the process of oxidative phosphorylation of the Krebs cycle and the electron transport chain. The electron transport chain system of mitochondria embodies multiple enzyme supercomplexes including complex I to V which located in the inner membrane. Although the simple enzyme activity of some as-isolated complex has been studied so far, the steady-state kinetic analysis of each complex within the form of mitochondrial supercomplex has not been studied in depth. To this end, kinetic parameters of mitochondrial complex I–IV were determined using steady-kinetic analysis using corresponding substrates of them. Catalytic activity and binding affinity between substrates and enzymes were obtained by fitting the data to the Michaelis–Menten equation. Acquired kinetic parameters represented distinctive values depending on the complexes that can be interpreted by the characteristics of the enzymes including the distinction of substrates or the ratio of the enzyme itself under the supercomplex form. The indirect kcat of the mitochondrial enzymes were varied from 0.0609 to 0.334 s−1 in order of complex III, II, I, and IV and Km of substrates were also diverse from 5.1 μM to 12.14 mM. This is the first attempt to get exact kinetic values that should provide profound information to evaluate the mitochondrial function practically in advance. © 2021, The Author(s).","Enzyme kinetics; Kinetic parameters; Mitochondria supercomplex; Mitochondrial enzyme",,Article,"Final","",Scopus,2-s2.0-85111247873
"Kim K.","55816477100;","Normalized class coherence change-based kNN for classification of imbalanced data",2021,"Pattern Recognition","120",,"108126","","",,,"10.1016/j.patcog.2021.108126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111006834&doi=10.1016%2fj.patcog.2021.108126&partnerID=40&md5=bf36d06f3d2692037b4eee048cce61d7","Information Technology Management Programme, International Fusion School, Seoul National University of Science & Technology (SeoulTech), 232 Gongreungno, Nowon-gu, Seoul  01811, South Korea","Kim, K., Information Technology Management Programme, International Fusion School, Seoul National University of Science & Technology (SeoulTech), 232 Gongreungno, Nowon-gu, Seoul  01811, South Korea","kNN is a widely used machine learning algorithm in many different domains because of its fairly good performance in actual cases and its simplicity. This study aims to enhance the performance of kNN for imbalanced datasets, a topic that has been relatively ignored in kNN research. The proposed kNN algorithm, called normalized class coherence change-based k-nearest neighbor (NCC-NN) algorithm, determines the label of a test sample by computing the normalized class coherence changes at class and sample levels for every possible class and assigning the sample to the class with the maximum value. It considers the tendency that the minority classes usually show the lower-class coherence than the majority class. NCC-kNN also utilizes the adaptive k for the class coherence, which is calculated in a weighted manner to reduce the sensitivity to the selection of k. NCC-kNN was applied to 20 benchmark datasets with varying class imbalance and coherence, and its performance was compared with that of five kNN algorithms, SMOTE and MetaCost with standard kNN as a base classifier. The proposed NCC-kNN outperformed the other kNN algorithms in classification of imbalanced data, especially for imbalanced data with low positive class coherence. © 2021 Elsevier Ltd","Class coherence; Imbalanced data; kNN; Nearest neighbor classification","Benchmarking; Learning algorithms; Machine learning; Nearest neighbor search; Class coherence; Different domains; Imbalanced data; Imbalanced Data-sets; K Nearest Neighbor (k NN) algorithm; KNN; Machine learning algorithms; Nearest neighbor classification; Performance; Test samples; Classification (of information)",Article,"Final","",Scopus,2-s2.0-85111006834
"Kim D., Yoon J.-H., Kim G.","57222000776;55600348400;55386013200;","Closed-form pricing formula for foreign equity option with credit risk",2021,"Advances in Difference Equations","2021","1","332","","",,,"10.1186/s13662-021-03486-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109862848&doi=10.1186%2fs13662-021-03486-7&partnerID=40&md5=02862f9d073c6f3e7905a50e0b1b927f","Department of Mathematics, Pusan National University, Busan, 46241, South Korea; School of Liberal Arts, Seoul National University of Science and Technology, Seoul, 01811, South Korea","Kim, D., Department of Mathematics, Pusan National University, Busan, 46241, South Korea; Yoon, J.-H., Department of Mathematics, Pusan National University, Busan, 46241, South Korea; Kim, G., School of Liberal Arts, Seoul National University of Science and Technology, Seoul, 01811, South Korea","Since credit risk in the over-the-counter (OTC) market has undoubtedly become very important issue, credit risk has to be considered when the options in the OTC market are priced. In this paper, we consider the valuation of foreign equity options with credit risk. In order to derive a closed-form pricing formula of this option, we adopt the partial differential equation (PDE) approach and use the Mellin transform method to solve the PDE. Specifically, triple Mellin transforms are used, and the pricing formula is presented as 3-dimensional normal cumulative distribution functions. Finally, we verify that our closed-form formula is accurate by comparing it with the numerical result from the Monte-Carlo simulation. © 2021, The Author(s).","Credit risk; Foreign equity option; Mellin transforms; Structural model",,Article,"Final","",Scopus,2-s2.0-85109862848
"Lee E.-H., Lee S., Chang Y., Lee S.-W.","55773710100;57225093588;57225098845;57218216989;","Simple screening of microplastics in bottled waters and environmental freshwaters using a novel fluorophore",2021,"Chemosphere","285",,"131406","","",,,"10.1016/j.chemosphere.2021.131406","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109169456&doi=10.1016%2fj.chemosphere.2021.131406&partnerID=40&md5=30fd530584b39f6adfa129863c30a4a5","Department of Microbiology, Pusan National University, 2 Busandaehak-ro 63 beon-gil, Geumjeong-gu, Busan, South Korea; Department of Fine Chemistry, Seoul National University of Science and Technology, 232 Gongneung-ro, Nowon-gu, Seoul, South Korea","Lee, E.-H., Department of Microbiology, Pusan National University, 2 Busandaehak-ro 63 beon-gil, Geumjeong-gu, Busan, South Korea; Lee, S., Department of Fine Chemistry, Seoul National University of Science and Technology, 232 Gongneung-ro, Nowon-gu, Seoul, South Korea; Chang, Y., Department of Microbiology, Pusan National University, 2 Busandaehak-ro 63 beon-gil, Geumjeong-gu, Busan, South Korea; Lee, S.-W., Department of Fine Chemistry, Seoul National University of Science and Technology, 232 Gongneung-ro, Nowon-gu, Seoul, South Korea","Screening of polymeric microplastic debris can help to assess the extent to which plastics contaminate the environment. We here developed an easy- and rapid-to-perform method for the screening of plastic polymers, based on a newly employed fluorophore, namely 1-pyrenebutyric acid N-hydroxysuccinimidyl ester (PBN). The PBN fluorophore was capable of staining diverse synthetic microplastic polymers within 5 min, including those displaying various particle sizes and shapes. The fluorescence intensities of the microplastics were considerably enhanced after the short-duration staining. The screening method was shown to be highly effective in the detection of polyethylene (PE), poly(ethylene terephthalate) (PET), polyvinyl chloride (PVC), polyamide-6 (PA-6), polypropylene (PP), polystyrene (PS), polycarbonate (PC), polyvinylidenechloride (PVDC), and polyurethane (PU), with a lowest analyzed particle size of 15 μm. Using our screening method, plastic contamination was investigated in commercially available bottled waters and environmental waters, specifically urban freshwaters. This study demonstrated high affinity levels of the newly proposed PBN fluorophore for a broad range of polymers and its ability to be used to discernibly identify polymer particles. © 2021 Elsevier Ltd","Microbeads; Mineral water; Plastic contamination; Urban stream","Beverages; Chlorine compounds; Ethylene; Fluorophores; Microbeads; Particle size; Plastic bottles; Polyethylene terephthalates; Polypropylenes; Polyvinyl chlorides; Screening; Water; Bottled water; Fresh Water; Microbeads; Microplastics; Mineral water; Plastic contamination; Plastic polymers; Screening methods; Simple++; Urban stream; Microplastic; concentration (composition); detection method; exopolymer; fluorescence; freshwater environment; plastic; polymer",Article,"Final","",Scopus,2-s2.0-85109169456
"Lee D., Kim K.","57225056545;55816477100;","An efficient method to determine sample size in oversampling based on classification complexity for imbalanced data",2021,"Expert Systems with Applications","184",,"115442","","",,,"10.1016/j.eswa.2021.115442","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108998812&doi=10.1016%2fj.eswa.2021.115442&partnerID=40&md5=47b3bf279e83a9c4384fe99c9b1eebbe","Department of Data Science, Seoul National University of Science & Technology (SeoulTech), 232 Gongreungno, Nowon-gu, Seoul, 01811, South Korea; Department of Industrial Engineering, Seoul National University of Science & Technology (SeoulTech), 232 Gongreungno, Nowon-gu, Seoul, 01811, South Korea","Lee, D., Department of Data Science, Seoul National University of Science & Technology (SeoulTech), 232 Gongreungno, Nowon-gu, Seoul, 01811, South Korea; Kim, K., Department of Industrial Engineering, Seoul National University of Science & Technology (SeoulTech), 232 Gongreungno, Nowon-gu, Seoul, 01811, South Korea","Resampling, one of the approaches to handle class imbalance, is widely used alone or in combination with other approaches, such as cost-sensitive learning and ensemble learning because of its simplicity and independence in learning algorithms. Oversampling methods, in particular, alleviate class imbalance by increasing the size of the minority class. However, previous studies related to oversampling generally have focused on where to add new samples, how to generate new samples, and how to prevent noise and they rarely have investigated how much sampling is sufficient. In many cases, the oversampling size is set so that the minority class has the same size as the majority class. This setting only considers the size of the classes in sample size determination, and the balanced training set can induce overfitting with the addition of too many minority samples. Moreover, the effectiveness of oversampling can be improved by adding synthetics into the appropriate locations. To address this issue, this study proposes a method to determine the oversampling size less than the sample size needed to obtain a balance between classes, while considering not only the absolute imbalance but also the difficulty of classification in a dataset on the basis of classification complexity. The effectiveness of the proposed sample size in oversampling is evaluated using several boosting algorithms with different oversampling methods for 16 imbalanced datasets. The results show that the proposed sample size achieves better classification performance than the sample size for attaining class balance. © 2021 Elsevier Ltd","Adaptive boosting; Class imbalance; Ensemble learning; Oversampling; Sampling size","Learning algorithms; Class imbalance; Cost-sensitive learning; Ensemble learning; Imbalanced data; Over sampling; Resampling; Sample size determination; Sample sizes; Sampling size; Training sets; Classification (of information)",Article,"Final","",Scopus,2-s2.0-85108998812
